game_version,mod_version,file_id,uploaded_at,file_name,file_url
"1.19.2","4.6.0","4477218","Apr 6, 2023","SuperFactoryManager-1.19.2-4.6.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4477218"
"1.19.2","4.5.1","4458575","Mar 26, 2023","SuperFactoryManager-1.19.2-4.5.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4458575"
"1.19.4","4.5.1","4458094","Mar 25, 2023","SuperFactoryManager-1.19.4-4.5.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4458094"
"1.19.2","4.5.0","4446721","Mar 19, 2023","SuperFactoryManager-1.19.2-4.5.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4446721"
"1.19.2","4.4.4","4329343","Jan 12, 2023","SuperFactoryManager-1.19.2-4.4.4.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4329343"
"1.19.2","4.4.3","4011313","Sep 29, 2022","SuperFactoryManager-1.19.2-4.4.3.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4011313"
"1.19.2","4.4.2","4011226","Sep 29, 2022","SuperFactoryManager-1.19.2-4.4.2.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/4011226"
"1.19.2","4.4.1","3953665","Aug 27, 2022","SuperFactoryManager-1.19.2-4.4.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3953665"
"1.19","4.3.1","3878540","Jul 16, 2022","SuperFactoryManager-1.19-4.3.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3878540"
"1.19","4.3.0","3843281","Jun 22, 2022","SuperFactoryManager-1.19-4.3.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3843281"
"1.19","4.2.0","3822242","Jun 8, 2022","SuperFactoryManager-1.19-4.2.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3822242"
"1.18.2","4.1.1","3812852","Jun 1, 2022","SuperFactoryManager-1.18.2-4.1.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3812852"
"1.18.2","4.1.0","3806558","May 27, 2022","SuperFactoryManager-1.18.2-4.1.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3806558"
"1.18.2","4.0.3","3763838","Apr 22, 2022","SuperFactoryManager-1.18.2-4.0.3.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3763838"
"1.18.1","4.0.2","3633646","Feb 2, 2022","SuperFactoryManager-1.18.1-4.0.2.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3633646"
"1.18.1","4.0.1","3586567","Dec 31, 2021","SuperFactoryManager-1.18.1-4.0.1.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3586567"
"1.18.1","4.0.0","3585098","Dec 30, 2021","SuperFactoryManager-1.18.1-4.0.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3585098"
"1.12.2","2.0.25","3357967","Jun 20, 2021","SuperFactoryManager-1.12.2-2.0.25.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3357967"
"1.16.4","3.1.0","3280449","Apr 18, 2021","SuperFactoryManager-1.16.4-3.1.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3280449"
"1.16.4","3.0.0","3260154","Apr 2, 2021","SuperFactoryManager-1.16.4-3.0.0.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3260154"
"1.12.2","2.0.24","3050275","Sep 5, 2020","SuperFactoryManager-1.12.2-2.0.24.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/3050275"
"1.12.2","2.0.23","2782811","Sep 11, 2019","SuperFactoryManager-1.12.2-2.0.23.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/2782811"
"1.12.2","2.0.21","2745100","Jul 20, 2019","SuperFactoryManager-1.12.2-2.0.21.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/2745100"
"1.12.2","2.0.20","2743347","Jul 18, 2019","SuperFactoryManager-1.12.2-2.0.20.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/2743347"
"1.12.2","2.0.19","2731217","Jun 27, 2019","SuperFactoryManager-1.12.2-2.0.19.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/2731217"
"1.12.2","2.0.18","2727080","Jun 20, 2019","SuperFactoryManager-1.12.2-2.0.18.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/2727080"
"1.12.2","2.0.15","2720642","Jun 5, 2019","SuperFactoryManager-1.12.2-2.0.15.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/2720642"
"1.12.2","2.0.14","2719316","Jun 2, 2019","SuperFactoryManager-1.12.2-2.0.14.jar","https://www.curseforge.com/minecraft/mc-mods/super-factory-manager/files/2719316"
