"game","mod","page","downloadUrl"
"1.20","4.20.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/4yEsfSXZ/Super%20Factory%20Manager%20%28SFM%29-MC1.20-4.20.0.jar"
"1.19.4","4.20.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/rBgXpZlp/Super%20Factory%20Manager%20%28SFM%29-MC1.19.4-4.20.0.jar"
"1.19.2","4.20.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/qBplV42h/Super%20Factory%20Manager%20%28SFM%29-MC1.19.2-4.20.0.jar"
"1.21.1","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/mlBNW5lZ/Super%20Factory%20Manager-1.21.1-4.19.0.jar"
"1.21","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/CiJHtiNn/Super%20Factory%20Manager-1.21-4.19.0.jar"
"1.20.4","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/DL86I4je/Super%20Factory%20Manager-1.20.4-4.19.0.jar"
"1.20.3","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/trkmAFSQ/Super%20Factory%20Manager-1.20.3-4.19.0.jar"
"1.20.2","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/EzWVxbPu/Super%20Factory%20Manager-1.20.2-4.19.0.jar"
"1.20.1","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/y8RXdGTD/Super%20Factory%20Manager-1.20.1-4.19.0.jar"
"1.20","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/XSC207Ip/Super%20Factory%20Manager-1.20-4.19.0.jar"
"1.19.2","4.19.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/mqmNz2iw/Super%20Factory%20Manager-1.19.2-4.19.0.jar"
"1.21","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/UqVP7WES/Super%20Factory%20Manager-1.21-4.18.0.jar"
"1.20.4","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/2k972bPv/Super%20Factory%20Manager-1.20.4-4.18.0.jar"
"1.20.3","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/nnSJgQKm/Super%20Factory%20Manager-1.20.3-4.18.0.jar"
"1.20.2","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/eDtx8rof/Super%20Factory%20Manager-1.20.2-4.18.0.jar"
"1.20","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/jMmbH1Bx/Super%20Factory%20Manager-1.20-4.18.0.jar"
"1.20.1","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/d0TMtQFF/Super%20Factory%20Manager-1.20.1-4.18.0.jar"
"1.19.4","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/wsPbHgYx/Super%20Factory%20Manager-1.19.4-4.18.0.jar"
"1.19.2","4.18.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/epP9g80j/Super%20Factory%20Manager-1.19.2-4.18.0.jar"
"1.20.4","4.17.0","4","https://cdn.modrinth.com/data/aecUorJQ/versions/v33dIiZA/Super%20Factory%20Manager-1.20.4-4.17.0.jar"
"1.20.3","4.17.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/KctLN4TX/Super%20Factory%20Manager-1.20.3-4.17.0.jar"
"1.20.2","4.17.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/X0bATx2B/Super%20Factory%20Manager-1.20.2-4.17.0.jar"
"1.20.1","4.17.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/5C3YxvEH/Super%20Factory%20Manager-1.20.1-4.17.0.jar"
"1.20","4.17.0","5","https://cdn.modrinth.com/data/aecUorJQ/versions/mVAsN9g1/Super%20Factory%20Manager-1.20-4.17.0.jar"
